Perturbation,MAE,Sm,wFm,Em
Clean,0.8376193260722038,0.08750935353078905,0.11351569511362425,0.24104103264797713
Bright +30%,0.8376878176089688,0.0874367162765168,0.11351293618031036,0.24132648082239772
Dark -50%,0.8400375300833494,0.08494965180097339,0.11363700829629945,0.24191955642053922
Fog 50%,0.8231395567358046,0.10312167552267508,0.11304314242470831,0.23460377384174141
Noise σ=25,0.8366338251715897,0.08853259899039441,0.11341557846008411,0.24138814390652824
