Variant,Dataset,MAE,MAE_mean,MAE_std,Sm,Sm_mean,Sm_std,wFm,wFm_mean,wFm_std,Em,Em_mean,Em_std
init,COD10K,0.054 ± 0.001,0.05390322423364463,0.001276587416501621,0.807 ± 0.000,0.8072361874369053,0.0002215249594422036,0.170 ± 0.002,0.1701562974298514,0.0016438513536940955,0.824 ± 0.001,0.8237814698578161,0.0007385870785677315
init,NC4K,0.123 ± 0.001,0.12254340052121049,0.0010293759945593217,0.648 ± 0.006,0.6482587662168976,0.006410773336189763,0.433 ± 0.007,0.43335960374096594,0.007428289706255894,0.652 ± 0.010,0.651709241843759,0.010150485689392474
scratch,COD10K,0.043 ± 0.001,0.04298201285550021,0.0011259140016317466,0.837 ± 0.001,0.8374668490583774,0.0014828867760987802,0.222 ± 0.002,0.2222205098795682,0.0019577280754354115,0.846 ± 0.004,0.8461455596627511,0.0038248759931624778
scratch,NC4K,0.106 ± 0.000,0.10566099738387442,0.0001744152386586823,0.701 ± 0.001,0.7013247978448135,0.0006051720959658016,0.516 ± 0.001,0.5161734902919419,0.0011421026689105948,0.694 ± 0.004,0.6942203096723562,0.0036257521202960586
