Method,Dataset,MAE,Sm,wFm,Em
"Ours (CamoNet, ΔT-Guided CST)",COD10K-test,0.054 ± 0.001,0.807 ± 0.000,0.170 ± 0.002,0.824 ± 0.001
"Ours (CamoNet, ΔT-Guided CST)",NC4K,0.123 ± 0.001,0.648 ± 0.006,0.433 ± 0.007,0.652 ± 0.010
