ID,Method,MAE↓,MAE_mean,MAE_std,S-measure↑,Sm_mean,Sm_std,wF-measure↑,wFm_mean,wFm_std,E-measure↑,Em_mean,Em_std
A0,A0-RGB-Baseline,0.045 ± 0.000,0.0445102939683226,0.0002521970175152604,0.832 ± 0.001,0.8316051915098016,0.0010290463143029839,0.210 ± 0.001,0.20958777062268533,0.0005945279064795446,0.848 ± 0.003,0.8483847863383507,0.003239565896557156
A1,A1-DeltaT-Pretrain,0.053 ± 0.001,0.05331423969467869,0.0005277466768892846,0.811 ± 0.001,0.8111460366514,0.0005396932484973306,0.172 ± 0.000,0.17158447543501554,0.0004289517031189497,0.826 ± 0.000,0.826121338446408,0.00033996301020523974
A2,A2-Illum-Gate,0.056 ± 0.000,0.05583030184047918,0.00041012772762624293,0.806 ± 0.000,0.8060216636415012,0.0003686056632561331,0.164 ± 0.001,0.16431543306477234,0.0008508181145104131,0.820 ± 0.002,0.8202126641029946,0.0017213375274550908
A3,A3-Full-Model,0.056 ± 0.001,0.05587580633640755,0.0010004746457515287,0.806 ± 0.001,0.8063979734300316,0.0005103363744299338,0.169 ± 0.001,0.16900665321127117,0.0012713630996791477,0.823 ± 0.002,0.8228313526899337,0.0020690924757846654
Oracle,Oracle-Real-IR,0.476 ± 0.013,0.4761329782340676,0.01284661751097549,0.302 ± 0.021,0.30179914470441777,0.020585257561220267,0.243 ± 0.063,0.24326594314464156,0.06257581435065483,0.303 ± 0.024,0.3032224090289891,0.024041640867660106
