MAE,Sm,wFm,Em
0.15014995634555817,0.4325378296097447,0.1366372085922115,0.2740210023090389
0.8453534245491028,0.08183378097760763,0.0729869276195069,0.24961976895860027
0.1518525332212448,0.4503582906136296,0.20173909390121889,0.30733188872890466
0.6466186046600342,0.1832645270999001,0.10766469058656451,0.2469007719125476
0.18439172208309174,0.4744669507663907,0.5085759992316669,0.4381824970663715
0.9171880483627319,0.06111999603547471,0.20750563571387237,0.07034978148731313
0.39704006910324097,0.31331750404500447,0.14903723628179708,0.2668000921113805
0.49548548460006714,0.28184012890911436,0.3043466263250532,0.27729122784350957
0.7830106616020203,0.11396315758395452,0.08658393195594868,0.25154412606819976
0.4585961103439331,0.2796164600740583,0.1421883052565821,0.26297168066461696
0.8773158192634583,0.07361910481808011,0.14133803492923033,0.15895479819144992
0.6911988258361816,0.17488347735245657,0.23272189426371978,0.2047759023571547
0.5316864252090454,0.2364466727453644,0.059989104152332676,0.25105391656084053
0.26140615344047546,0.48721225913458677,0.5798084262671378,0.4727800553667184
0.31532615423202515,0.4618041662845333,0.48672553082967757,0.40070994157630246
0.27277013659477234,0.3808451003201954,0.1429002535464645,0.27339276840325444
0.1503354161977768,0.4549640672362861,0.22641945442835812,0.2987211064855122
0.7348254919052124,0.1387786553167817,0.0863111442328857,0.24995611158142322
0.3083835542201996,0.3793936325836329,0.3117152526390235,0.32537469607944886
0.592912495136261,0.22078329154074888,0.17099892734204478,0.249849984107738
0.46132388710975647,0.3053206823487298,0.217501169976969,0.2702162571711745
0.936848521232605,0.038505633485520795,0.09581540494166137,0.25200085432087616
0.3846932053565979,0.31165630561795293,0.058187765444880704,0.25116994542139215
0.35443004965782166,0.33533625511804477,0.1338002395410342,0.26428178444281497
0.4526187479496002,0.2886499322710599,0.19800704786773893,0.27262050282498224
0.47391584515571594,0.2872474593814062,0.1952447202202651,0.2711449965367638
0.340528666973114,0.34985971084802664,0.2547424223976997,0.29765977876534766
0.8523273468017578,0.08852319352026704,0.15860547458124896,0.17744748049251435
0.6165170669555664,0.19557130259041083,0.06509142218939025,0.2500322839104563
0.6628570556640625,0.1749397253901561,0.08980612948399856,0.2501150175822021
0.1008206307888031,0.45692253919007236,0.12023360663295152,0.2733168223728754
0.568413496017456,0.22900101166834602,0.14942936572699983,0.2579235456052065
0.41458091139793396,0.29926182540963575,0.11987153688822919,0.256916304934526
0.9555543065071106,0.027226384312918087,0.08552240479905847,0.2308186344881127
0.6009752154350281,0.21782715976701822,0.1871195724723301,0.25025931507453736
0.3514636754989624,0.3315222777899119,0.08299224922829916,0.2568119290459493
0.2997630834579468,0.40055223817702423,0.33942704091046133,0.3437870404234462
0.9337188601493835,0.051070543168680996,0.18748980286091615,0.1665572399198832
0.26279792189598083,0.3957772589894125,0.47679185614533937,0.41759804746224416
