ID,Method,MAE↓,MAE_mean,MAE_std,S-measure↑,Sm_mean,Sm_std,wF-measure↑,wFm_mean,wFm_std,E-measure↑,Em_mean,Em_std
A3-Full,Full,0.056 ± 0.001,0.05582657913374714,0.0011228704568250463,0.806 ± 0.000,0.8063582495055592,0.00038291686673635745,0.169 ± 0.001,0.1692109915894355,0.0012456839075653135,0.823 ± 0.002,0.8229347809509772,0.0018025672509533578
A3-NoDT,No ΔT,0.056 ± 0.001,0.05596515577459165,0.00109354335940643,0.806 ± 0.001,0.806416308222821,0.0005093621705790055,0.169 ± 0.001,0.16938071263929208,0.0011684202345377266,0.823 ± 0.002,0.8231349139462706,0.002085283531402799
A3-NoGate,No Gate,0.056 ± 0.001,0.05596090694134667,0.0010208089711564172,0.806 ± 0.000,0.8060288213630612,0.0004878716634370798,0.169 ± 0.001,0.1689075555443059,0.0014153218676193893,0.823 ± 0.002,0.8229166311684155,0.0020888371642441574
A3-NoAttn,No Attn,0.055 ± 0.001,0.05548556557736204,0.0010681801849139363,0.809 ± 0.000,0.8090255643298336,0.0002065021437506486,0.172 ± 0.001,0.1717810843805081,0.0012082626767759333,0.826 ± 0.001,0.8256031994451876,0.0007938379931032401
A3-NoPseudoDT,No Pseudo-ΔT,0.056 ± 0.001,0.056119260197452,0.001280865230510566,0.805 ± 0.000,0.8054754057623029,0.000412091273350909,0.168 ± 0.001,0.1680571062881244,0.0007596251016816787,0.823 ± 0.002,0.8228940933624571,0.002433517181052957
