ID,Method,MAE↓,MAE_mean,MAE_std,S-measure↑,Sm_mean,Sm_std,wF-measure↑,wFm_mean,wFm_std,E-measure↑,Em_mean,Em_std
A3-Full,Full,0.123 ± 0.001,0.12255108381839926,0.0010200059470195568,0.653 ± 0.006,0.6530662413291598,0.00616913069381859,0.438 ± 0.007,0.4383350508715707,0.00733625734479557,0.660 ± 0.010,0.660264017617457,0.009783501884334786
A3-NoDT,No ΔT,0.123 ± 0.001,0.12250314236657073,0.0010981555911811205,0.654 ± 0.006,0.6536015327739334,0.006137448949061596,0.439 ± 0.007,0.4388974888905115,0.007448264845657522,0.661 ± 0.010,0.660879923249566,0.010064358921861877
A3-NoGate,No Gate,0.123 ± 0.001,0.12257054201952139,0.0010487371963463499,0.653 ± 0.006,0.653353342395554,0.005945202500905036,0.438 ± 0.007,0.4379659009404013,0.007277104360875517,0.661 ± 0.009,0.6605798667989102,0.009195239339442296
A3-NoAttn,No Attn,0.120 ± 0.001,0.12031470349752764,0.0009846593307715294,0.664 ± 0.004,0.6642384560296345,0.003996689470280643,0.453 ± 0.006,0.45272509375021963,0.006472897166894754,0.676 ± 0.006,0.6760590148238684,0.006213379645522235
A3-NoPseudoDT,No Pseudo-ΔT,0.123 ± 0.001,0.12310833078033545,0.0010555640293256963,0.652 ± 0.007,0.6524955207081172,0.006624145574202339,0.435 ± 0.007,0.43491363947079426,0.007243857666450405,0.660 ± 0.011,0.6599609614576117,0.01065041318080008
