ID,Method,MAE↓,MAE_mean,MAE_std,S-measure↑,Sm_mean,Sm_std,wF-measure↑,wFm_mean,wFm_std,E-measure↑,Em_mean,Em_std
A0,A0-RGB-Baseline,0.109 ± 0.001,0.10889823584432633,0.0012265584552833733,0.690 ± 0.002,0.6900842703000297,0.0017507932176325821,0.491 ± 0.005,0.4913323064609689,0.005113342033837256,0.698 ± 0.005,0.6984141804098591,0.004589254431024412
A1,A1-DeltaT-Pretrain,0.120 ± 0.000,0.11999739912107062,0.0002755709185599872,0.663 ± 0.001,0.662755546911631,0.0014235243073356142,0.450 ± 0.003,0.44993127334297983,0.003014571595428086,0.673 ± 0.002,0.6733306139516335,0.0020287871949784815
A2,A2-Illum-Gate,0.123 ± 0.001,0.12316725876539841,0.0005707862780187162,0.655 ± 0.002,0.655294046415863,0.0023117745940794986,0.437 ± 0.003,0.4373916890203911,0.003344206353061891,0.667 ± 0.006,0.6670285057355819,0.005802144639163519
A3,A3-Full-Model,0.123 ± 0.001,0.12265994966334913,0.001008582320447481,0.653 ± 0.006,0.6529839917658173,0.0060393525925055355,0.438 ± 0.007,0.4376766137419197,0.007324071409343658,0.660 ± 0.010,0.6598076712437664,0.009588027958695419
Oracle,Oracle-Real-IR,0.131 ± 0.007,0.13144589511998986,0.0074256196081423035,0.640 ± 0.014,0.6402092179702542,0.013744733646107838,0.405 ± 0.033,0.4050807001416657,0.0332542223559272,0.636 ± 0.031,0.6357575010725341,0.031157604757616274
