Variant,Dataset,MAE,MAE_mean,MAE_std,Sm,Sm_mean,Sm_std,wFm,wFm_mean,wFm_std,Em,Em_mean,Em_std
init,COD10K,0.054 ± 0.002,0.05444099176903061,0.002116043984194683,0.808 ± 0.001,0.80790049819783,0.0006385531134049726,0.166 ± 0.002,0.1661115770057551,0.0020174455541167144,0.819 ± 0.004,0.818939252214129,0.0035870550180293922
init,NC4K,0.125 ± 0.001,0.1245438180490251,0.001296486858247462,0.645 ± 0.008,0.6446572737448863,0.008343407649814928,0.422 ± 0.011,0.42168299950633625,0.011419863326191756,0.642 ± 0.016,0.6418313425509327,0.01649273801823137
scratch,COD10K,0.042 ± 0.001,0.04220274403499207,0.0006786539985440022,0.837 ± 0.002,0.8373559793533286,0.0016252692258148876,0.222 ± 0.002,0.2215752699434752,0.0023396292133375527,0.847 ± 0.004,0.8472786846723124,0.0042524968044561455
scratch,NC4K,0.107 ± 0.001,0.10685137772334818,0.0011859535015202622,0.695 ± 0.008,0.6954523881652189,0.007831326367593478,0.508 ± 0.010,0.5076155907269831,0.009671470706710384,0.688 ± 0.006,0.6880807613181728,0.006410743974965844
