Method,Dataset,MAE,Sm,wFm,Em
"Ours (CamoNet, ΔT-Guided CST)",COD10K-test,0.054 ± 0.002,0.808 ± 0.001,0.166 ± 0.002,0.819 ± 0.004
"Ours (CamoNet, ΔT-Guided CST)",NC4K,0.125 ± 0.001,0.645 ± 0.008,0.422 ± 0.011,0.642 ± 0.016
