Perturbation,MAE,Sm,wFm,Em
Clean,0.6099627816946117,0.2953546969470093,0.12517419805180782,0.26263586833288816
Bright +30%,0.6057782437696644,0.29365626663084804,0.12262631060445867,0.26437144773481713
Dark -50%,0.607194349932688,0.3029516032533173,0.12809861394483257,0.26428702090283135
Fog 50%,0.6229757922124122,0.28414330119869574,0.12594399984040733,0.24766157104611836
Noise σ=25,0.5980633459488068,0.3041430959296416,0.12605721378054777,0.26775363383873196
